run,time,nnz,rmse
1,10.00016546,0,nan
1,20.00027966,0,nan
1,30.00004077,0,nan
1,40.0007,0,nan
1,50.00038266,0,nan
1,60.00083017,0,nan
1,70.00071478,0,nan
1,80.0001874,0,nan
1,90.00055337,0,nan
1,100.0008309,0,nan
1,110.0009933,0,nan
1,120.0011516,0,nan
1,130.0004196,0,nan
1,140.0001273,0,nan
1,150.0001225,0,nan
1,160.0007401,0,nan
1,170.0009372,0,nan
1,180.0007708,0,nan
1,190.0007586,0,nan
1,200.0007303,0,nan
1,210.0007184,0,nan
1,220.0005174,7282177,1.257556822
1,230.0010924,7282177,1.257556822
1,240.0004063,11323542,1.248943641
1,250.0003235,11323542,1.248943641
1,260.0005271,15612100,1.239608979
1,270.0003476,15612100,1.239608979
1,280.0002403,15612100,1.239608979
1,290.0000134,15612100,1.239608979
1,300.0009983,15612100,1.239608979
1,310.0005648,15612100,1.239608979
1,320.0008135,15612100,1.239608979
1,330.0000689,15612100,1.239608979
1,340.0009992,15612100,1.239608979
1,350.0004847,15612100,1.239608979
1,360.0004203,15612100,1.239608979
1,370.0010641,15612100,1.239608979
1,380.0009611,15612100,1.239608979
1,390.0008249,15612100,1.239608979
1,400.0004718,15612100,1.239608979
1,410.0000012,15612100,1.239608979
1,420.0009832,15612100,1.239608979
1,430.0008214,19190797,1.203096031
1,440.000988,22889697,1.17659873
1,450.0004749,22889697,1.17659873
1,460.0006869,22889697,1.17659873
1,470.0000436,22889697,1.17659873
1,480.0007432,22889697,1.17659873
1,490.0003879,26882461,1.154250111
1,500.000267,26882461,1.154250111
1,510.0000937,26882461,1.154250111
1,520.0006826,31218378,1.135402151
1,530.0008686,31218378,1.135402151
1,540.0006106,31218378,1.135402151
1,550.0000737,31218378,1.135402151
1,560.0007977,31218378,1.135402151
1,570.0001376,31218378,1.135402151
1,580.0001047,31218378,1.135402151
1,590.0008581,31218378,1.135402151
1,600.0004663,31218378,1.135402151
1,610.0001857,31218378,1.135402151
1,620.0009716,31218378,1.135402151
1,630.0009522,31218378,1.135402151
1,640.0004725,31218378,1.135402151
1,650.0002294,38500555,1.107617581
1,660.0000353,38500555,1.107617581
1,670.0001616,38500555,1.107617581
1,680.0006661,38500555,1.107617581
1,690.0005844,38500555,1.107617581
1,700.0002768,38500555,1.107617581
1,710.0007408,38500555,1.107617581
1,720.0001233,38500555,1.107617581
1,730.0006838,38500555,1.107617581
1,740.0008495,38500555,1.107617581
1,750.0008352,42541920,1.095590682
1,760.0005724,42541920,1.095590682
1,770.0004084,46830478,1.084603809
1,780.00087,46830478,1.084603809
1,790.0007579,46830478,1.084603809
1,800.000855,46830478,1.084603809
1,810.000067,46830478,1.084603809
1,820.0007086,46830478,1.084603809
1,830.0007,46830478,1.084603809
1,840.0004025,46830478,1.084603809
1,850.0005307,46830478,1.084603809
1,860.0003901,50409175,1.076624724
1,870.0006268,50409175,1.076624724
1,880.0012085,54108075,1.069467183
1,890.0008824,54108075,1.069467183
1,900.0010448,54108075,1.069467183
1,910.0008211,54108075,1.069467183
1,920.0002122,54108075,1.069467183
1,930.0001049,54108075,1.069467183
1,940.0007036,54108075,1.069467183
1,950.0003343,54108075,1.069467183
1,960.0004735,54108075,1.069467183
1,970.0001292,54108075,1.069467183
1,980.000006,54108075,1.069467183
1,990.0001981,54108075,1.069467183
1,1000.000052,58100839,1.062306228
1,1010.000501,58100839,1.062306228
1,1020.000444,58100839,1.062306228
1,1030.000182,62436756,1.05532133
1,1040.000652,62436756,1.05532133
1,1050.000794,62436756,1.05532133
1,1060.000744,62436756,1.05532133
1,1070.000794,62436756,1.05532133
1,1080.001105,62436756,1.05532133
1,1090.000293,69718933,1.045422497
1,1100.000875,69718933,1.045422497
1,1110.000839,69718933,1.045422497
1,1120.000565,69718933,1.045422497
1,1130.000025,69718933,1.045422497
1,1140.000589,69718933,1.045422497
1,1150.000901,69718933,1.045422497
1,1160.000657,69718933,1.045422497
1,1170.000299,69718933,1.045422497
1,1180.000175,69718933,1.045422497
1,1190.000897,69718933,1.045422497
1,1200.000626,69718933,1.045422497
2,10.00018668,0,nan
2,20.00012851,0,nan
2,30.00040555,0,nan
2,40.00058103,0,nan
2,50.0008502,0,nan
2,60.0004704,1983266,1.449303033
2,70.00063777,6452314,1.420599202
2,80.0000627,8893622,1.40745493
2,90.00110793,8893622,1.40745493
2,100.0001724,8893622,1.40745493
2,110.0009902,8893622,1.40745493
2,120.0009193,10879524,1.356603207
